1;p;81;41;250;1.98;6.1;9;p;12;11.11;2.44
2;p;80;42;238;1.91;5.67;0;0;0;0;0
3;p;81;26;196;3.12;7.54;9.8;m;15;12.04;6.73
4;p;125;63;368;1.98;5.84;20;p;18;16;1.59
5;p;146;45;350;3.24;7.78;42.8;S;43;29.28;6.11
6;p;109;55;316;1.98;5.75;0.8;p;S;0.69;1.36
7;p;161;57;400;2.83;7.02;19;p;18;11.8;1.75
8;p;136;66;402;2.06;6.09;9;p;12;6.62;1.52
9;p;156;64;424;2.44;6.63;18;m;24;11.54;3.13
10;p;95;38;254;2.5;6.68;9;p;12;9.47;2.64
11;p;163;40;350;4.08;8.75;9;p;12;5.52;2.5
12;p;112;54;318;2.07;5.89;0;0;0;0;0
13;p;130;55;348;2.36;6.33;24;m;28;18.46;3.64
14;p;134;54;362;2.48;6.7;15;p;16;11.19;1.85
15;p;167;59;428;2.83;7.25;27;p;24;16.17;1.7
16;p;159;74;452;2.15;6.11;27;m;30;16.98;2.7
17;p;195;63;468;3.1;7.43;66;4;64;33.85;6.35
18;p;176;70;484;2.51;6.91;0;0;0;0;0
19;p;141;56;366;2.52;6.54;9;p;12;6.38;1.79
20;p;146;38;238;3.84;8.63;45;m;42;30.82;5.26
21;p;142;45;328;2.52;6.54;9;p;12;6.38;1.79
22;p;155;61;418;2.54;6.85;0;0;0;0;0
23;p;200;91;576;2.2;6.33;27;m;30;13.5;2.2
24;p;114;61;346;1.87;5.67;0;0;0;0;0
25;p;178;66;462;2.7;7;28.8;S;33;16.15;4.17
26;p;92;50;292;1.84;5.84;12;p;14;13.04;2
27;p;165;63;430;2.62;6.83;0;0;0;0;0
28;p;145;51;350;2.84;6.86;14;p;16;9.66;1.96
29;p;63;24;170;2.63;7.08;25;p;22;39.68;4.17
30;p;139;64;410;2.17;6.41;0;0;0;0;0
31;p;139;64;410;2.17;6.41;0;0;0;0;0
32;p;119;53;342;2.25;6.45;0;0;0;0;0
33;p;107;43;270;2.49;6.28;17;p;18;15.89;2.33
34;p;241;79;602;3.05;7.62;30;S;38;12.45;3.8
35;p;143;44;332;3.25;7.55;30;m;32;20.98;4.55
36;p;205;79;536;2.6;6.79;24;m;28;11.71;2.53
37;p;144;58;392;2.48;6.76;0;0;0;0;0
38;p;136;68;392;m;5.77;12;p;14;8.82;1.47
39;p;35;18;104;1.94;5.78;0;0;0;0;0
40;p;153;64;434;2.39;6.78;42.8;4;49;27.94;5.86
